ID,Case Name,Filing Year,Description,Case Categories,Principal Laws
13658,County of Mono v. City of Los Angeles,2018,Lawsuit asserting that the Los Angeles Department of Water and Power should have conducted a California Environmental Quality Act review for its change in use of water on land owned by the Department in Mono County.,State Law Claims>State Impact Assessment Laws,County of Mono v. City of Los Angeles
13664,Rise St. James v. Louisiana Department of Environmental Quality,2020,Challenge to air permits for construction and operation of a new chemical manufacturing facility.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Rise St. James v. Louisiana Department of Environmental Quality
13712,Appalachian Voices v. U.S. Department of Interior,2020,Challenge to U.S. Fish and Wildlife Service approvals for Mountain Valley Pipeline.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Appalachian Voices v. U.S. Department of Interior
13715,"Memphis Community Against Pollution, Inc. v. U.S. Army Corps of Engineers",2021,Challenge to issuance of 2017 Nationwide Permit (NWP) 12 and the verification of the use of NWP 12 for the Byhalia crude oil pipeline.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,"Memphis Community Against Pollution, Inc. v. U.S. Army Corps of Engineers"
13718,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Challenge to the reclassification of the American burying beetle from “endangered” to “threatened” under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
13721,"Natural Resources Defense Council, Inc. v. U.S. Fish &amp; Wildlife Service",2021,Lawsuit challenging the U.S. Fish and Wildlife Service's determination that designation of critical habitat for the rusty patch bumble bee would not be prudent and seeking to compel designation of critical habitat for the species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,"Natural Resources Defense Council, Inc. v. U.S. Fish &amp; Wildlife Service"
13725,Center for Biological Diversity v. U.S. Bureau of Land Management,2021,"Challenge to environmental review for oil and gas lease sale in Kern County, California.",Federal Statutory Claims>NEPA,Center for Biological Diversity v. U.S. Bureau of Land Management
13750,Texas v. Biden,2021,Challenge to President Biden's revocation of the presidential permit for the Keystone XL pipeline and associated actions.,Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Texas v. Biden
13758,Harris County v. Texas Department of Transportation,2021,"Lawsuit alleging that Texas Department of Transportation failed to comply with the requirements in the National Environmental Policy Act and Section 4(f) of the Department of Transportation Act in connection with the rerouting of a Houston highway,",Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Harris County v. Texas Department of Transportation
13761,"Safe Skies Clean Water Wisconsin, Inc. v. U.S. Air Force",2021,"Challenge to the decision by the U.S. Air Force to replace F-16 fighter jets with F35-A aircraft at an Air National Guard location in Madison, Wisconsin.",Federal Statutory Claims>NEPA,"Safe Skies Clean Water Wisconsin, Inc. v. U.S. Air Force"
13764,Center for Biological Diversity v. County of Lake,2020,Challenge to environmental review for the Guenoc Valley Mixed Use Planned Development Project.,State Law Claims>State Impact Assessment Laws,Center for Biological Diversity v. County of Lake
13768,Center for Biological Diversity v. County of San Diego,2020,"Challenge to the environmental review for the Otay Ranch Resort Village 13 project in San Diego County, California.",State Law Claims>State Impact Assessment Laws,Center for Biological Diversity v. County of San Diego
13771,Sierra Club v. County of San Diego,2019,"Challenge to the environmental review for the Otay Ranch Resort Village 14 project in San Diego County, California.",State Law Claims>State Impact Assessment Laws,Sierra Club v. County of San Diego
13789,"Citizens for the Preservation of Wainscott, Inc. v. Town Board of East Hampton",2021,Challenge to an easement granted by the Town of East Hampton Town Board for the landing site of a transmission cable from a proposed offshore wind facility.,State Law Claims>State Impact Assessment Laws|State Law Claims>Utility Regulation,"Citizens for the Preservation of Wainscott, Inc. v. Town Board of East Hampton"
13795,Center for Biological Diversity v. Haaland,2020,Lawsuit challenging the withdrawal of the U.S. Fish and Wildlife Service's proposed rule to list the North American wolverine in the contiguous United States as a threatened distinct population segment.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Haaland
13830,New York v. U.S. Department of Energy,2021,Challenge to final Energy Conservation Program rules for residential furnaces and commercial water heaters.,Federal Statutory Claims>Other Statutes and Regulations,New York v. U.S. Department of Energy
13944,In re Hawai‘i Electric Light Co.,2020,Challenge to Hawai‘i Public Utilities Commission’s denial of a competitive bidding waiver to a utility in connection with power purchase agreement with biomass power facility.,State Law Claims>Utility Regulation,In re Hawai‘i Electric Light Co.
13990,Citizens for a  Healthy Community v. U.S. Department of Interior,2021,"Lawsuit challenging federal defendants’ approval of the North Fork Mancos Master Development Plan, which allowed drilling of 35 horizontal gas wells in an area on the Western Slope of the Rocky Mountains.",Federal Statutory Claims>NEPA,Citizens for a  Healthy Community v. U.S. Department of Interior
13996,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Lawsuit seeking to compel the U.S. Fish and Wildlife Service to publish proposed rules regarding the listing of 10 species as endangered or threatened.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
14062,Living Rivers v. Hoffman,2019,Challenge by conservation groups to the suspension of 82 oil and gas leases.,Federal Statutory Claims>NEPA,Living Rivers v. Hoffman
14065,In re Hawaiian Electric Co.,2020,Challenge to Hawaii Public Utilities Commission's order declining to re-open a 2014 order that approved a Purchase Power Agreement for wind energy.,State Law Claims>Utility Regulation,In re Hawaiian Electric Co.
14068,Town of Sudbury v. Energy Facilities Siting Board,2020,Challenge to the approval of a new underground electrical transmission line running between substations in Massachusetts.,State Law Claims>Utility Regulation,Town of Sudbury v. Energy Facilities Siting Board
14071,Washington State Dairy Federation v. Washington Department of Ecology,2019,Challenge to the Pollution Control Hearing Board's approval of general permits for concentrated animal feeding operations.,State Law Claims>Environmentalist Lawsuits,Washington State Dairy Federation v. Washington Department of Ecology
14074,Martin v. California Coastal Commission,2018,Challenge to conditions imposed by California Coastal Commission on the construction of a single-family residence on a bluff adjacent to the Pacific Ocean.,Adaptation>Challenges to adaptation measures,Martin v. California Coastal Commission
14145,"Uetricht v. Chicago Parking Meters, LLC",2021,Challenge to agreement between the City of Chicago and a private company granting the company control over the City's parking meter system for 75 years.,State Law Claims>Other Types of State Law Cases|Federal Statutory Claims>Other Statutes and Regulations,"Uetricht v. Chicago Parking Meters, LLC"
14148,Interfaith Center on Corporate Responsibility v. U.S. Securities and Exchange Commission,2021,"Challenge to the U.S. Securities and Exchange Commission’s (SEC’s) adoption of amendments to Rule 14a-8, which governs the submission of shareholder proposals for inclusion in a company’s proxy statement.",Securities and Financial Regulation,Interfaith Center on Corporate Responsibility v. U.S. Securities and Exchange Commission
14155,Earth Island Institute v. Coca-Cola Co.,2021,"Lawsuit alleging that Coca-Cola engaged in false and deceptive marketing by representing itself as a “sustainable and environmentally friendly company"" despite being one of the world's largest contributors to plastic pollution.",State Law Claims>Environmentalist Lawsuits,Earth Island Institute v. Coca-Cola Co.
14204,State v. Yildirim,2019,"Prosecution of ""valve turner"" activists who entered an Enbridge pipeline valve site and turned valves on a pipeline.",Climate Change Protesters and Scientists>Protesters,State v. Yildirim
14207,Energy Policy Advocates v. Mayor &amp; City Council of Baltimore,2020,Lawsuit seeking to compel the Mayor and City Council of Baltimore to disclose certain correspondence and agreements related to Baltimore's climate change litigation against fossil fuel companies.,State Law Claims>Freedom of Information/Public Records,Energy Policy Advocates v. Mayor &amp; City Council of Baltimore
14244,In re Oatly Group AB Securities Litigation,2021,"Securities class action against oatmilk company alleging greenwashing, among other misleading statements.",Securities and Financial Regulation,In re Oatly Group AB Securities Litigation
14252,Allco Renewable Energy Ltd. v. Haaland (Vineyard Wind),2021,Lawsuit challenging federal review and approvals for the Vineyard Wind offshore wind project.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Allco Renewable Energy Ltd. v. Haaland (Vineyard Wind)
14270,North Dakota v. U.S. Department of the Interior,2021,Lawsuit challenging the Biden administration's moratorium on oil and gas leasing.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,North Dakota v. U.S. Department of the Interior
14273,Conservation Law Foundation v. Shell Oil Co.,2021,"Citizen suit alleging failures to prepare a bulk storage and fuel terminal in New Haven, Connecticut for the effects of climate change.",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures|Federal Statutory Claims>Other Statutes and Regulations,Conservation Law Foundation v. Shell Oil Co.
14276,Conservation Law Foundation v. Gulf Oil LP,2021,"Citizen suit alleging failures to prepare a bulk storage and fuel terminal in New Haven, Connecticut for the effects of climate change.",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures|Federal Statutory Claims>Other Statutes and Regulations,Conservation Law Foundation v. Gulf Oil LP
14280,Komor v. United States,2021,Pro se lawsuit alleging that federal defendants violated the plaintiff's constitutional rights by causing and contributing to the accumulation of greenhouse gases in the atmosphere.,Constitutional Claims>Fifth Amendment|Constitutional Claims>Other Constitutional Claims,Komor v. United States
14283,Western Watersheds Project v. U.S. Bureau of Land Management,2021,Challenge to the review of the U.S. Bureau of Land Management's revised livestock grazing analysis for the Sonoran Desert National Monument Resource Management Plan.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Western Watersheds Project v. U.S. Bureau of Land Management
14287,Kaupiko v. Board of Land &amp; Natural Resources,2021,Challenge to revised environmental impact statement for commercial aquarium fishing.,State Law Claims>State Impact Assessment Laws,Kaupiko v. Board of Land &amp; Natural Resources
14329,Protect Our Aquifer v. Tennessee Valley Authority,2020,Challenge to long-term contracts for electricity between Tennessee Valley Authority and local utilities.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Protect Our Aquifer v. Tennessee Valley Authority
14343,In re Enbridge Line 3 Replacement Project Section 401 Water Quality Certification,2020,Challenge to water quality certification for Enbridge Energy's Line 3 replacement pipeline project in Minnesota.,Federal Statutory Claims>Clean Water Act,In re Enbridge Line 3 Replacement Project Section 401 Water Quality Certification
14376,Friends of the Earth v. Haaland,2021,Lawsuit challenging federal defendants' decision to hold an offshore oil and gas lease sale in the Gulf of Mexico.,Federal Statutory Claims>NEPA,Friends of the Earth v. Haaland
14379,ACK Residents Against Turbines v. U.S. Bureau of Ocean Energy Management,2021,Lawsuit challenging the federal reviews of the Vineyard Wind 1 offshore wind project.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,ACK Residents Against Turbines v. U.S. Bureau of Ocean Energy Management
14382,AquAlliance v. U.S. Fish &amp; Wildlife Service,2021,Challenge to federal authorizations for a multi-use development in the City of Chico.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,AquAlliance v. U.S. Fish &amp; Wildlife Service
14385,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Challenge to the determination that the Clear Lake hitch was not warranted for listing under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
14388,American Petroleum Institute v. U.S. Department of the Interior,2021,Lawsuit seeking to compel federal defendants to proceeding with onshore and offshore oil and gas lease sales.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,American Petroleum Institute v. U.S. Department of the Interior
14407,California Trucking Association v. South Coast Air Quality Management District,2021,"Lawsuit seeking to block implementation of a South Coast Air Quality Management District rule imposing compliance obligations on warehouses based on the number, type, and emission characteristics of trucks that visit the warehouse facilities.",State Law Claims>Industry Lawsuits|Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,California Trucking Association v. South Coast Air Quality Management District
14410,Cape Fear River Watch v. U.S. Army Corps of Engineers,2021,"Lawsuit challenging the elimination of seasonal restrictions on ""hopper dredging.""",Federal Statutory Claims>NEPA,Cape Fear River Watch v. U.S. Army Corps of Engineers
14413,Indigenous Peoples of the Coastal Bend v. U.S. Army Corps of Engineers,2021,Challenge to Clean Water Act permit for expansion of crude oil export terminal in Texas.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,Indigenous Peoples of the Coastal Bend v. U.S. Army Corps of Engineers
14425,Town of Copake v. New York State Office of Renewable Energy Siting,2021,Challenge to regulations establishing  procedural and substantive requirements for permit applications for major renewable energy facilities.,State Law Claims>State Impact Assessment Laws,Town of Copake v. New York State Office of Renewable Energy Siting
14496,"Greenpeace, Inc. v. Walmart Inc.",2020,Lawsuit alleging that Walmart's marketing of plastic and plastic-packaged products as recyclable violated California's Unfair Competition Law.,State Law Claims>Environmentalist Lawsuits,"Greenpeace, Inc. v. Walmart Inc."
14501,AquAlliance v. U.S. Bureau of Reclamation,2021,Challenge to program to incentivize groundwater pumping as an alternative to obtaining water from the Sacramento River.,Federal Statutory Claims>NEPA,AquAlliance v. U.S. Bureau of Reclamation
14507,In re Petition of Apple Hill Solar LLC,2020,Challenge to the Vermont Public Utility Commission's denial of a certificate of public good for construction of a solar facility.,State Law Claims>Utility Regulation,In re Petition of Apple Hill Solar LLC
14510,Ochs v. District of Columbia,2019,"Prosecution of two climate change protestors for crowding, obstructing, or incommoding a street after being warned to cease.",Climate Change Protesters and Scientists>Protesters,Ochs v. District of Columbia
14513,Sierra Watch v. County of Placer,2016,Challenge to CEQA review for proposed report in Olympic Valley.,State Law Claims>State Impact Assessment Laws,Sierra Watch v. County of Placer
14519,Vermont v. Exxon Mobil Corp.,2021,Consumer protection lawsuit brought by the State of Vermont against fossil fuel companies alleging deceptive and unfair business practices in connection with the companies' sale of their products.,State Law Claims>Enforcement Cases,Vermont v. Exxon Mobil Corp.
14556,"Stossel v. Meta Platforms, Inc.",2021,Defamation lawsuit against Facebook and fact-checkers for alleged mischaracterizations of plaintiff's climate change videos.,Climate Change Protesters and Scientists>Protesters,"Stossel v. Meta Platforms, Inc."
14560,Center for Biological Diversity v. U.S. Bureau of Land Management,2021,Challenge to federal defendants' management of the West Mojave Planning Area of the California Desert Conservation Area.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. U.S. Bureau of Land Management
14563,Center for Biological Diversity v. Tennessee Valley Authority,2021,Challenge to Tennessee Valley Authority’s (TVA's) response to a petition requesting that TVA adopt regulations limiting its ability to pay funds to third-party organizations that the plaintiffs alleged worked against the interests of TVA ratepayers.,Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. Tennessee Valley Authority
14569,Stewart v. Entergy Corp.,2021,Lawsuit seeking to hold an electricity provider liable for damages allegedly sustained as a result of the failure of electrical infrastructure during Hurricane Ida.,Adaptation>Actions seeking money damages for losses,Stewart v. Entergy Corp.
14574,350 Seattle v. Puget Sound Clean Air Agency,2021,Lawsuit alleging that local clean air agencies in Washington were unlawfully shifting decision-making authority for new source approval to technical staff and undermining the State's ability to achieve greenhouse gas reduction targets.,State Law Claims>Environmentalist Lawsuits,350 Seattle v. Puget Sound Clean Air Agency
14652,"Last Beach Cleanup v. TerraCycle, Inc.",2021,"Lawsuit alleging that defendants engage in unlawful, unfair, and deceptive business practices by marketing products and packaging made from single-use plastics and other difficult-to-recycle materials as recyclable.",State Law Claims>Environmentalist Lawsuits,"Last Beach Cleanup v. TerraCycle, Inc."
14697,"TruOjai, LLC v. County of Ventura",2018,Challenge to Ventura County ordinance that banned short-term rentals in Ojai Valley.,State Law Claims>State Impact Assessment Laws,"TruOjai, LLC v. County of Ventura"
14723,Yes in My Back Yard v. California Department of Housing and Community Development,2021,Lawsuit to compel the California Department of Housing and Community Development to supplement its regional housing needs determination for the San Francisco Bay Area to consider jobs-housing balance.,State Law Claims>Other Types of State Law Cases,Yes in My Back Yard v. California Department of Housing and Community Development
14790,DeIuliis v. Engel,2020,Defamation lawsuit brought by energy executive against writers and media company for assigning blame for climate change to him and other executives.,Climate Change Protesters and Scientists>Protesters,DeIuliis v. Engel
14795,Pruitt v. Biden,2021,Lawsuit brought by pro se plaintiff to stop the United States from reentering the Paris Climate Accord.,Constitutional Claims>Other Constitutional Claims,Pruitt v. Biden
14800,Elfin Forest Harmony Grove Town Council v. County of San Diego,2018,Lawsuit challenging the environmental review for a mixed-use development in San Diego County.,State Law Claims>State Impact Assessment Laws,Elfin Forest Harmony Grove Town Council v. County of San Diego
14806,McCann v. City of San Diego,2019,Challenge to environmental review for project to convert overhead utility wires to an underground system.,State Law Claims>State Impact Assessment Laws,McCann v. City of San Diego
14826,Center for Biological Diversity v. U.S. Maritime Administration,2021,Lawsuit asserting that the adoption and continued implementation of the America's Marine Highway Program required consultation under Section 7 of the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Maritime Administration
14833,Young v. EPA,2021,Challenge to the Biden administration's reconstitution of the Science Advisory Board and the Clean Air Scientific Advisory Committee.,Climate Change Protesters and Scientists>Scientists|Federal Statutory Claims>Other Statutes and Regulations,Young v. EPA
14836,Perri v. Croskrey,2021,"Stockholder derivative action against board of directors and upper management at a company that produces a ""purportedly biodegradable plastic alternative.""",Securities and Financial Regulation,Perri v. Croskrey
14839,Montana Environmental Information Center v. Montana Department of Environmental Quality,2021,Challenge to air quality permit for construction and operation of a gas-fired power plant.,State Law Claims>State Impact Assessment Laws,Montana Environmental Information Center v. Montana Department of Environmental Quality
14842,Berkeley Citizens for a Better Plan v. Regents of the University of California,2021,"Challenge to environmental review for the University of California, Berkeley’s 2021 Long Range Development Plan and two construction projects.",State Law Claims>State Impact Assessment Laws,Berkeley Citizens for a Better Plan v. Regents of the University of California
14850,"American Federation of State, County, &amp; Municipal Employees, Local 3299 v. Regents of University of California",2021,"Challenge to environmental review for the University of California, Berkeley’s 2021 Long Range Development Plan and two housing projects.",State Law Claims>State Impact Assessment Laws,"American Federation of State, County, &amp; Municipal Employees, Local 3299 v. Regents of University of California"
14877,"Conservation Law Foundation v. DATTCO, Inc.",2020,"Citizen suit against transportation company that operated a fleet of more than 1,000 vehicles for unlawfully idling vehicles for extended periods of time.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"Conservation Law Foundation v. DATTCO, Inc."
14897,"In re Application of PSEG Nuclear, LLC and Exelon Generation Company, LLC for the Zero Emission Certificate Program – Salem Unit 1",2020,"Challenge to $800 million in subsidies awarded to the owners of three nuclear power plants in the form of ""zero emissions certificates.""",State Law Claims>Utility Regulation,"In re Application of PSEG Nuclear, LLC and Exelon Generation Company, LLC for the Zero Emission Certificate Program – Salem Unit 1"
14908,Make UC a Good Neighbor v. Regents of University of California,2021,"Challenge to environmental review for the University of California, Berkeley’s 2021 Long Range Development Plan and two housing projects.",State Law Claims>State Impact Assessment Laws,Make UC a Good Neighbor v. Regents of University of California
14924,"Rosencrants v. Danimer Scientific, Inc.",2021,"Federal securities class action against company that produces a biodegradable plastic alternative for allegedly making false and misleading statements about the company, including by overstating the product's biodegradability in oceans and landfills.",Securities and Financial Regulation,"Rosencrants v. Danimer Scientific, Inc."
14927,San Leandro Workers Alliance v. San Leandro City Council,2021,"Challenge to approvals for a mixed-use residential development, including for failure to consider the greenhouse gas emissions created by the project.",State Law Claims>State Impact Assessment Laws,San Leandro Workers Alliance v. San Leandro City Council
14934,Swartz v. Coca-Cola Co.,2021,"Lawsuit alleging that Coca-Cola's advertising, marketing, and sale of water in plastic bottles labeled as ""100% recyclable"" constitutes unlawful, unfair, and deceptive business practices.",State Law Claims>Environmentalist Lawsuits,Swartz v. Coca-Cola Co.
15025,Friends of the Wild Swan v. Haaland,2020,Lawsuit filed challenging the U.S. Fish and Wildlife Service's decision to forgo recovery planning for the Canada lynx in the contiguous United States.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Friends of the Wild Swan v. Haaland
15033,Coalition of Concerned Citizens v. New York State Board on Electrical Generation Siting &amp; the Environment,2020,Challenge to authorization for onshore wind-powered electric generating facilities in Western New York.,State Law Claims>Utility Regulation,Coalition of Concerned Citizens v. New York State Board on Electrical Generation Siting &amp; the Environment
15060,In re Alto Maipo Delaware LLC,2021,"Bankruptcy proceeding filed by company constructing a run-of-river hydroelectric project in Chile, citing significant impacts of climate change on amount of power that can be produced.",Adaptation>Other Types of Adaptation Cases,In re Alto Maipo Delaware LLC
15063,Clark v. Haaland,2021,Lawsuit seeking seeking declarations regarding the application of federal law to certain reclamation and irrigation projects.,Adaptation>Actions seeking adaptation measures,Clark v. Haaland
15066,Defenders of Wildlife v. U.S. Forest Service,2021,"Challenge to the U.S. Forest Service’s authorization of the Rio Grande National Forest Land Management Plan and associated actions, focused on impacts to Canada lynx habitat.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Defenders of Wildlife v. U.S. Forest Service
15069,San Luis Valley Ecosystem Council v. Dallas,2021,Lawsuit challenging the U.S. Forest Service’s authorization of the Rio Grande National Forest Land Management Plan and associated actions.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,San Luis Valley Ecosystem Council v. Dallas
15080,Alaska Industrial Development &amp; Export Authority v. Biden,2021,Action to compel the Biden administration to carry out oil and gas leasing on the Coastal Plain of the Arctic National Wildlife Refuge (ANWR) on Alaska’s North Slope.,Federal Statutory Claims>Other Statutes and Regulations,Alaska Industrial Development &amp; Export Authority v. Biden
15083,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Lawsuit alleging that the U.S. Fish and Wildlife Service failed to make timely determinations on whether two small fish with habitat in California warranted protection under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
15087,Wildlands Defense v. Brummett,2021,"Lawsuit challenging the U.S. Forest Service’s approval of the Sage Hen Integrated Restoration Project in the Boise National Forest, including for failure to consider climate change impacts on bull trout.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Wildlands Defense v. Brummett
15090,Energy Policy Advocates v. U.S. Department of State,2021,Freedom of Information Act lawsuit seeking to compel disclosure of records related to the ethics clearance and recusal process for Special Presidential Envoy for Climate Change John Kerry.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Energy Policy Advocates v. U.S. Department of State
15097,NECEC Transmission LLC v. Bureau of Parks &amp; Lands,2021,"Lawsuit challenging Maine law banning completion and operation of the New England Clean Energy Connection transmission line corridor, which would transport electricity from Canadian hydropower facilities into Maine and the New England electric grid.",State Law Claims>Other Types of State Law Cases|Constitutional Claims>Other Constitutional Claims,NECEC Transmission LLC v. Bureau of Parks &amp; Lands
15101,Stinson LLP v. University of Minnesota,2021,Lawsuit to compel disclosure of University of Minnesota data allegedly related to the University's contributions to public debate about climate change and involvement in developing theories for attorney general's lawsuit against fossil fuel entities.,State Law Claims>Freedom of Information/Public Records,Stinson LLP v. University of Minnesota
15104,Community Members for Environmental Justice v. City of Minneapolis,2021,Lawsuit challenging the environmental review for redevelopment of the Upper Harbor Terminal on the west bank of the Mississippi River in Minneapolis.,Adaptation>Reverse Impact Assessment|State Law Claims>State Impact Assessment Laws,Community Members for Environmental Justice v. City of Minneapolis
15171,O’Neil v. Steele,2019,Lawsuit asserting that U.S. Forest Service failed to consider the albedo effect when developing a management plan.,Federal Statutory Claims>NEPA,O’Neil v. Steele
15180,Save Civita Because Sudberry Won’t v. City of San Diego,2017,Challenge to roadway project in the City of San Diego.,State Law Claims>State Impact Assessment Laws,Save Civita Because Sudberry Won’t v. City of San Diego
15231,"Heating, Air-Conditioning, &amp; Refrigeration Distributors International v. EPA",2021,Challenges to EPA's final rule on “Phasedown of Hydrofluorocarbons: Establishing the Allowance Allocation and Trading Program under the American Innovation and Manufacturing Act.”,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,"Heating, Air-Conditioning, &amp; Refrigeration Distributors International v. EPA"
15234,Idaho Conservation League v. U.S. Forest Service,2021,Lawsuit challenging federal approvals of the Sage Hen Integrated Restoration Project in the Boise National Forest.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Idaho Conservation League v. U.S. Forest Service
15238,Northwest Environmental Advocates v. EPA,2021,Lawsuit asserting that EPA had failed to fulfill mandatory obligations to develop total maximum daily loads (TMDLs) for the Puget Sound.,Federal Statutory Claims>Clean Water Act,Northwest Environmental Advocates v. EPA
15241,Advocates for a Cleaner Tacoma v. Puget Sound Clean Air Agency,2021,Challenge to Washington Pollution Control Hearings Board decisions affirming approvals for a liquefied natural gas facility.,State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,Advocates for a Cleaner Tacoma v. Puget Sound Clean Air Agency
15352,"Government Accountability &amp; Oversight, P.C. v. Regents of the University of California",2020,Lawsuit asserting that the University of California failed to comply with the California Public Records Act in response to requests for law professors' correspondence with the Massachusetts attorney general's office and certain donors.,State Law Claims>Freedom of Information/Public Records,"Government Accountability &amp; Oversight, P.C. v. Regents of the University of California"
15397,Save Our Illinois Land v. Illinois Commerce Commission,2021,Challenge to the Illinois Commerce Commission's approval of three new pumping stations on the Dakota Access Pipeline to increase the pipeline's throughput.,State Law Claims>Utility Regulation,Save Our Illinois Land v. Illinois Commerce Commission
15400,Responsible Offshore Development Alliance v. U.S. Department of the Interior,2022,Challenge to Bureau of Ocean Energy Management approvals for the Vineyard Wind offshore wind project off the coasts of Massachusetts and Rhode Island.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Responsible Offshore Development Alliance v. U.S. Department of the Interior
15403,"Danskammer Energy, LLC v. New York State Department of Environmental Conservation",2021,"Natural gas-fired power plant operator's challenge to denial of Title V air permit application for a new, more efficient electricity generating plant.",State Law Claims>Industry Lawsuits,"Danskammer Energy, LLC v. New York State Department of Environmental Conservation"
15406,Center for Biological Diversity v. Haaland,2022,Challenge to the alleged failure of federal agencies to comply with the Endangered Species Act and Administrative Procedure Act in connection with the authorization and management of offshore oil and gas activities in federal waters off California.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Haaland
15409,Schilling v. Pelosi,2022,Radio host's lawsuit to compel release of congressional records related to the House Oversight and Reform Committee’s investigation into alleged climate change misinformation campaign involving fossil fuel companies.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Schilling v. Pelosi
15414,Resource Renewal Institute v. National Park Service,2022,Challenge to the National Park Service’s adoption of a General Management Plan amendment that expanded lands open to beef and dairy ranching within Point Reyes National Seashore and Golden Gate National Recreation Area.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Resource Renewal Institute v. National Park Service
15419,"Fresh Air for the Eastside, Inc. v. New York",2022,Lawsuit alleging that the operation of a landfill violated the rights of a local environmental group's members to clean air and a healthy environment under the New York Constitution’s Environmental Rights Amendment.,State Law Claims>Environmentalist Lawsuits,"Fresh Air for the Eastside, Inc. v. New York"
15536,"Independent Power Producers of New York, Inc. v. Federal Energy Regulatory Commission",2021,"Challenge to FERC's rejection of part of the demand curve analysis filed by the New York Independent System Operator, which based its analysis on decarbonization timelines in the Climate Leadership and Community Protection Act.",Federal Statutory Claims>Other Statutes and Regulations,"Independent Power Producers of New York, Inc. v. Federal Energy Regulatory Commission"
