Title,Summary,Status,Jurisdictions,Case Categories,Principal Laws,Core Object,Case Permalink
"Federal Environment Agency (IBAMA) v. Industria, Comercio e Exportacao de Madeiras Floresta Verde Ltda.","On 4th February 2019, Brazils Federal Environment Agency (IBAMA), filed a public civil action (environmental class-action) against Industria, Comercio e Exportacao de Madeiras Floresta Verde Ltda. seeking compensation for environmental and climate damages based on an infringement notice for illegal wood storage without an environmental license. 

This public civil action is part of a set of 9 lawsuits brought by IBAMA on the same grounds, but against different defendants, to question illegal wood deposits and climate damage. 

The plaintiff alleges that the storage of wood without proven origin is associated with illegal deforestation and predatory exploitation in the Amazon biome. Thus, it seeks reparation for environmental damages provoked by it, including (i) the damage caused to flora and fauna, (ii) soil erosion, (iii) contribution to global warming. As for the climate damage, it claims that the unlawful conduct not only removed carbon sinks from the forest, but also caused the release of carbon into the atmosphere. 

The plaintiff seeks redress through the determination of (i) an obligation to restore the vegetation in an area equivalent to that estimated by IBAMA, based on the volume of logs seized, amounting to 96 hectares - counted from the volume of 3,359.993 m3 of forest products stored, which was considered equivalent to 9,599.99 m3 of roundwood-, ideally in an area of the same biome in Indigenous Land, Conservation Unit or Agrarian Reform Settlement Project and (ii) an obligation to pay the climate damage based on the Carbon Social Cost (CSC). It claims, based on the polluter pays principle, that the climate damage represents an external social cost that has not been internalized by the illegal deforestation, leaving it to society. It also argues that climate damage can be quantified on an individual scale by multiplying the estimated GHG emissions of the activity by the CSC. In the present case, IBAMA uses the Amazon Fund methodology to estimate emissions based on the area of the Amazon biome considered deforested, totaling 35,232 tons of carbon. 

The plaintiff requests, as a matter of urgency: (i) suspension of financing and tax incentives and access to credit lines of the offender, (ii) unavailability of assets in the estimated amount for the obligation to do plant recovery and the obligation to pay the climate damage, and (iii) judicial embargo of the illicit polluting activity. It affirms the need for reversal of the burden of proof and, definitively, requests the defendant's conviction in the obligation to do, to restore an area equivalent to that deforested, and obligation to pay, in the amount related to the social cost of carbon. 
In a preliminary decision, the court rejected the injunction, considering that  there was no urgency of the provision or danger in delay. 
The defendant filed a reply to the indictment stating that the initial claim for compensation for environmental damages was inaccurate, arguing that the liability has not been proven and questioning the amount of the calculated damage. It also claimed that the environmental agents had gotten the quantity of timber stored wrong and , therefore, that the defendant did not have illegal wood deposit. It also questioned the methodology used by IBAMA to calculate the environmental damage based on the Social Cost of Carbon, stating that there was no possibility of really individualizing the alleged damage. Finally, it requested the dismissal of the case without resolution on the merits or the judgment on merits rejecting the complaint.
IBAMA filed a reply challenging the points raised in the opposition, and attached Technical Information No. 10/2019-COREC/CGBIO/DBFLO, which explains how the calculation is made to arrive at the amount of compensation sought regarding the application of the Social Cost of Carbon (CSC). 
The court ruled the claim in advance, partially accepting the initial petition requests. The Federal Judge understood that the materiality and authorship of the environmental offense had been proven by the work of IBAMA agents - inspection report and photographic report presented. It considered that the defendant's conduct caused damage to the community, including loss of soil nutrients, effects on the local population, loss of natural capital, increase of carbon dioxide in the atmosphere and decrease of water availability, accepting the request for condemnation to pay for the social cost of carbon. He argued that the amount to be paid should be fixed based on the severity of the damage, the degree of guilt of the offender and the socioeconomic size of the defendant. Thus, he understood that the damage in question is relevant and that the defendant has a high degree of guilt. He ordered the defendant to recompose 96 hectares through the preparation of a reforestation plan, according to the conditions established by the court; to pay the amount of R$1,000,000.00  on the basis of the social cost of carbon, by depositing it in a judicial account; and to the loss or suspension of the defendant's participation in financing lines offered to official credit establishments and the loss or restriction of access to incentives and tax benefits offered by the Government.
The defendant submitted an appeal in the execution phase of the proceedings, alleging the unenforceability of the order, requesting the annulment of the decision that converted the obligation to do into losses and damages.",Pending,['Brazil>Para Federal Court'],"['Suits against corporations, individuals>Corporations>Climate damage']","['Brazil>National Environmental Policy (Federal Law 6 938/81)', 'Brazil>Federal Constitution>art. 225']",The quantification of the climate and environment damage in the civil liability for the illegal wood storage.,https://climatecasechart.com/non-us-case/federal-environment-agency-ibama-v-industria-comercio-e-exportacao-de-madeiras-floresta-verde-ltda/
Federal Environmental Agency (IBAMA) v. Gabriel Industria e Comercio Madeiras EIRELI.,"On 19th December 2018, Brazil s Federal Environment Agency (IBAMA), filed a Public Civil Action (environmental class action), with a request for urgent relief, against Gabriel Industria e Comercio Madeiras EIRELI, seeking compensation for environmental and climate damages based on an infringement notice for illegal wood storage without an environmental license. 
This public civil action is part of a set of 9 lawsuits brought by IBAMA on the same grounds, but against different defendants, to question illegal wood deposits and climate damage. 
The plaintiff alleges that the storage of wood without proven origin is associated with illegal deforestation and predatory exploitation in the Amazon biome. Thus, it seeks reparation for environmental damages provoked by it, including (i) the damage caused to flora and fauna, (ii) soil erosion, (iii) contribution to global warming. 
As for climate damage, it claims that unlawful conduct not only removed carbon sinks from the forest, but also caused the release of carbon into the atmosphere.
The plaintiff seeks redress through the determination of (i) an obligation to restore the vegetation in an area equivalent to that estimated by IBAMA, based on the volume of logs seized, amounting to 22.14 hectares, ideally in an area of the same biome in Indigenous Land, Conservation Unit or Agrarian Reform Settlement Project and (ii) an obligation to pay the climate damage based on the Carbon Social Cost (CSC) in the amount of R$ 2,149,975.55. It claims, based on the polluter pays principle, that the climate damage represents an external social cost that is not internalized by the illegal deforestation, leaving it to society. It also argues that climate damage can be quantified on an individual scale by multiplying the estimated GHG emissions of the activity by the CSC. In this case, IBAMA uses the Amazon Fund methodology to estimate emissions based on the area of the Amazon biome considered deforested, summing up to 8,125.38 tons of carbon.

The plaintiff requests, as an injunction: (i) suspension of financing and tax incentives and access to credit lines by the offender, (ii) unavailability of assets in the estimated amount for the obligation of the vegetation restorage and the obligation to compensate the climate damage, and (iii) judicial restraint order of the illicit polluting activity. On the merits, it requests the defendant's conviction in the obligation to do - to recover an area equivalent to that deforested - and the obligation to pay - in the amount related to the social cost of carbon.

In a preliminary decision, the court rejected the injunction, considering that there was no urgency or danger in delay - given that two years had already passed since the assessment-, nor even sufficient probative ballast to justify a restrictive measure without prior contradiction, stating that there was no minimum evidence that the services performed by the defendant would compromise the environment. The Judge also understood that IBAMA's sampling measurement technique could cause inaccuracy, thus emptying the ""probability of the right''.",Pending,['Brazil>Para Federal Court'],"['Suits against corporations, individuals>Corporations>Climate damage']","['Brazil>National Environmental Policy (Federal Law 6 938/81)', 'Brazil>National Policy on Climate Change  PNMC (Federal Law 12', 'Brazil>Federal Constitution>art. 225']",The quantification of the climate and environment damage in the civil liability for the illegal wood storage.,https://climatecasechart.com/non-us-case/federal-environmental-agency-ibama-v-gabriel-industria-e-comercio-madeiras-eireli/
"Federal Environment Agency (IBAMA) v. Alto Norte Industria, Comercio e Exportacao de Madeiras Ltda.","On 20th December 2018, Brazils Federal Environment Agency (IBAMA), filed a public civil action (environmental class-action) against Alto Norte Industria, Comercio e Exportacao de Madeiras Ltda. seeking compensation for environmental and climate damages based on an infringement notice for illegal wood storage without an environmental license. 

This public civil action is part of a set of 9 lawsuits brought by IBAMA on the same grounds, but against different defendants, to question illegal wood deposits and climate damage. 

The plaintiff alleges that the storage of wood without proven origin is associated with illegal deforestation and predatory exploitation in the Amazon biome. Thus, it seeks reparation for environmental damages provoked by it, including (i) the damage caused to flora and fauna, (ii) soil erosion, (iii) contribution to global warming. 

As for the climate damage, it claims that the unlawful conduct not only removed carbon sinks from the forest, but also caused the release of carbon into the atmosphere. 

The plaintiff seeks redress through the determination of (i) an obligation to restore the vegetation in an area equivalent to that estimated by IBAMA, based on the volume of logs seized, amounting to 20.63 hectares, ideally in an area of the same biome in Indigenous Land, Conservation Unit or Agrarian Reform Settlement Project and (ii) an obligation to pay the climate damage based on the Carbon Social Cost (CSC) in the amount of R$ 2,003,342.17. It claims, based on the polluter pays principle, that the climate damage represents an external social cost that is not internalized by the illegal deforestation, leaving it to society. It also argues that climate damage can be quantified on an individual scale by multiplying the estimated GHG emissions of the activity by the CSC. In this case, IBAMA uses the Amazon Fund methodology to estimate emissions based on the area of the Amazon biome considered deforested, summing up to 7,571.21 tons of carbon.

The plaintiff requests, as an injunction: (i) suspension of financing and tax incentives and access to credit lines by the offender, (ii) unavailability of assets in the estimated amount for the obligation of the vegetation restorage and the obligation to compensate the climate damage, and (iii) judicial restraint order of the illicit polluting activity. On the merits, it requests the defendant's conviction in the obligation to do - to recover an area equivalent to that deforested - and the obligation to pay - in the amount related to the social cost of carbon.

In a preliminary decision, the court partially granted the injunction, considering that the danger of delay was evident, especially in view of the fragility of the ecologically balanced environment. Thus, it granted and ordered (i) the suspension of the right to participate in financing lines offered by official credit establishments; (ii) the restriction of access to tax incentives and tax benefits offered by the Government in the three spheres of the Federation; (iii) the unavailability of the assets of Alto Norte Industria, Comercio e Exportacao de Madeiras Ltda. in the amount of R$ 2,224,949.63. ",Pending,['Brazil>Mato Grosso'],"['Suits against corporations, individuals>Corporations>Climate damage']","['Brazil>National Environmental Policy (Federal Law 6 938/81)', 'Brazil>National Policy on Climate Change  PNMC (Federal Law 12', 'Brazil>Federal Constitution>art. 225', 'Brazil>Federal Constitution>art. 5']","The quantification of the climate and environment damage in the civil liability for the illegal wood storage.
",https://climatecasechart.com/non-us-case/federal-environment-agency-ibama-v-alto-norte-industria-comercio-e-exportacao-de-madeiras-ltda/
SFOC et al. v. Minister of Health and Welfare,"Plaintiffs are three environmental organizations, Solutions for Our Climate, Green Environment Youth Korea, and 60+ Climate Action. Defendant is the Minister of Health and Welfare of the Korean Government, who also chairs the Fund Management Committee of the National Pension Service. Plaintiffs are seeking an order against the Defendant to disclose the record in relation to the coal divestment policy discussions in the National Pension Service.

National Pension Service is one of the largest asset owners in the world, managing more than USD 800B. In May 2021, National Pension Service announced that it will no longer invest in coal mining and coal power generation, and that it will prepare a policy setting out the details of the coal policy by 2022. However, after two years of the announcement, National Pension Service has not published its coal policy and has refused to disclose any information on the ongoing discussions.

Prior to the filing of the complaint, Plaintiffs submitted a request for disclosure of information to the National Pension Service in accordance with the applicable provision of the Act on Disclosure of Information for Public Institutions on 24 May 2023. However, the National Pension refused to comply with most of the requests, particularly the minutes of the Fund Management Committee dealing with the coal policy on the basis that such information could adversely affect the fair management of the fund or the stability of the financial market, which constitutes a ground for refusal under the same Act.

Plaintiffs challenge the National Pension Services refusal by filing a disclosure of information claim in the Seoul District Court, arguing that the requested information does not fall into the exception category argued by the National Pension Service, and therefore must be made publicly available.",Pending,['South Korea>Seoul District Court'],['Suits against governments'],['South Korea>Act on Disclosure of Information for Public Institutions'],Whether the information related to the National Pension Services internal discussions on introduction of coal investment policy is required to be disclosed under the Act on Disclosure of Information for Public Institutions.,https://climatecasechart.com/non-us-case/sfoc-et-al-v-minister-of-health-and-welfare/
ADI 7146 (Regime of environmental protected areas in urban areas),"On 18th of April, 2022, four political parties, Workers Party (PT), Brazilian Socialist Party (PSB), Socialism and Freedom Party (PSOL) and Rede Sustentabilidade (Rede) filed a Direct Action of Unconstitutionality (ADI), with a request for a precautionary measure, seeking the declaration of unconstitutionality of Federal Law 14.285/2021, which amends the environmental protection regime of urban protected areas (APPs), conferring on the Municipalities and the Federal District the competence to define the limits of APPs around watercourses in urban areas, regardless of the limits established by Federal Law 12.651/2012 (Forest Code). The plaintiffs argue that the challenged law is materially unconstitutional, as it violates (i) the constitutional regime of distribution of competences in environmental matters (articles 24, VI, VII and VIII c/c 30, II), (ii) the fundamental right to an ecologically balanced environment (article 225) and (iii) the duty of the public authorities to protect the environment (articles 225 and 23, VI and VII), provided for in the Federal Constitution, as well as the principles of prevention and precaution, the prohibition of regression in environmental matters and the prohibition of insufficient protection. They argue that the law represents a relaxation of the protection of urban APPs which, in turn, impacts the management of environmental risks and disasters (such as floods and landslides), increasingly frequent with the intensification of extreme events associated with climate change. They request, as a precautionary measure, the suspension of the effects of Federal Law 14.285/2021 until the end of the judgment of the action, maintaining the applicability of the previous law. On the merits, they request the declaration of unconstitutionality of the law. ",Pending,['Brazil>Federal Supreme Court'],['Suits against governments>Protecting biodiveristy and ecosystems'],"['Brazil>Federal Constitution>art. 225', 'Brazil>Forest Code (Law 12 651/2012)']",Whether a Federal Law that changes the regime for protected areas in urban areas is unconstitutional. ,https://climatecasechart.com/non-us-case/adi-7146-regime-of-environmental-protected-areas-in-urban-areas/
AMOREMA e AMORETGRAP vs. Sustainable Carbon and others (Carbon credits and Extractive Reserves),"On December 20, 2021, AMOREMA and AMORETGRAP filed a Public Civil Action (ACP) against Sustainable Carbon - Projetos Ambientais Ltda., Ecomapua Conservacao Ltda., Eccaplan Consultoria em Sustentabilidade, Bio Assets Ativos Ambientais Ltda, Deloitte Touche Tohmatsu Consultores Ltda., Barilla G. e R. F.lli S.P.A., Banco Santander S.A., ISA CTEEP - Companhia de Transmissao de Energia Eletrica Paulista, Deloitte Touche Tohmatsu Auditores Independentes, BB MAPFRE Participacoes S.A., IATA International Air Transport Association, Swire Pacific Offshore Operations (PTE.) Ltd, Inter-American Development Bank, Companhia de Locacao das Americas, Groupe Air France, 17er Oberlandenergie GMBH, Wienerberger GMBH, Brockhaus Stahl GMBH and other companies which acquired carbon credits from the Ecomapua Project that could not be identified by the plaintiffs. It is alleged that the defendant companies illicitly traded in the voluntary market carbon credits generated in or around the Mapua Extractive Reserve (RESEX Mapua) and Terra Grande-Pracuuba Extractive Reserve (RESEX Terra Grande-Pracuuba), located in the Amazon, in the state of Para, which characterizes illegal takeover of these assets.

This is because the defendant companies obtain an economic advantage from the misappropriation of credits, due to the environmental preservation promoted by the traditional extractivist population, without receiving fair remuneration or compensation. The Extractive Reserves are, according to specific legislation, public lands of the Federal Union, whose real right of use is granted to the traditional populations that inhabit them. It is in discussion the generation and sale of carbon credits from ""Ecomapua Project"" from 2015 in the Amazon, prepared and/or marketed by the companies Ecomapua, Sustainable Carbon, Bio Assets and Evento Neutro, which consists of the sale of assets from REDD+ projects (credits generated by avoided deforestation, sustainable management and increased forest carbon stocks), is discussed. The other defendant companies are sued for having acquired the assets without the necessary diligence, therefore entering into void contracts due to illicit objects, or for being supporters of the project. It is claimed that areas of the Project, consisting of Fazendas Brasileiro, Lago do Jacare and Sao Domingos, overlap with the territory of RESEX Mapua and Terra Grande-Pracuuba, where hundreds of families live and, therefore, the certified credits from these areas should belong to the extractivist communities that inhabit them.

It is argued that the preservation of forests in the project areas comes from the activities of the extractivist communities in the region and that the sale of the assets of the Ecomapua Project had the certification of ""social carbon,"" stating that there would be counterparts for the communities, which did not occur. Thus, the plaintiffs claim that the companies misused the name, image, and cultural heritage of the communities and altered the truth of the facts by advertising the socio-environmental responsibility of the Project. The associations argue that the companies caused collective material and moral damages to the extractivist families and incurred in enrichment by intervention. They request: (i) that the defendants which sold carbon credits submit detailed reports on said assets; (ii) that the defendants submit contracts and other documents on the transactions carried out within the scope of the Ecomapua Project; (iii) the joint and several condemnation of the defendants to pay the plaintiffs compensation for material damages, restitution of the benefits earned by the defendants and compensation for collective moral damage; and (iv) order, under penalty of a fine, that the defendants cease to buy or sell carbon credits from within or around the Mapua and Terra Grande-Pracuuba Extractive Reserves and cease to use the name and image of the extractivist populations, their associations and the respective Extractive Reserves.",Pending,['Brazil>Para Federal Court'],"['Suits against corporations, individuals>Corporations>Carbon credits']","['Brazil>Federal Constitution>art. 216', 'Brazil>Federal Law 9 985/2000 (National System of Nature Conservation Units  SNUC)', 'Brazil>ILO Convention 169 (enacted by Decree 5051/2004']",Whether the defendant companies illicitly traded in the voluntary market carbon credits generated in or around Extractive Reserves located in the Amazon characterizing a kind of illegal takeover of these assets.,https://climatecasechart.com/non-us-case/amorema-e-amoretgrap-vs-sustainable-carbon-and-others-carbon-credits-and-extractive-reserves/
In Re Tax Benefits for Aviation,"In a decision of 30 September 2020, the Constitutional Court held that climate-damaging tax benefits for aviation companies cannot be contested by persons who do not use the services of these companies for environmental reasons. The corresponding application thus was inadmissible (see http://climatecasechart.com/non-us-case/greenpeace-v-austria/). On 23 February 2022, a previously uninvolved applicant  a consumer using both rail and air services  resubmitted the application. The applicant has been diagnosed with multiple sclerosis and suffers from the related Uthoff syndrome  symptoms associated with multiple sclerosis exacerbate in case of higher temperatures. At temperatures of 25C, the applicants ability to walk is limited; at temperatures of 30C, the applicant depends on a wheelchair and assistance from others. As a result of climate change, the number of warm and hot days in Austria steadily increased; the average temperature in Austria has already risen by 1.8C (compared to the global average of 1C). Thus, Austria is particularly affected by the climate crisis. Nevertheless, it further aggravates the climate crisis: Austrian tax law provides that the domestic part of cross-border passenger transportation by aviation companies is exempt from the turnover tax. Furthermore, paraffin  the fuel for air travel  is exempt from the mineral oil tax. On the other hand, passenger transportation by rail companies is not exempt from the turnover tax even though greenhouse gas emissions associated with a rail journey are, on average, 31 times lower than when traveling the same distance by airplane. 

Against this background, the applicant alleged the unconstitutionality of relevant tax provisions in the Federal Turnover Tax Act and the Mineral Oil Tax Act for violating her fundamental rights. In concrete terms, the applicant alleged a violation of her right to equality before the law, her right to life and her right to private and family life. 
The right to equality before the law conveys a right to equal treatment  differentiations are only justified when they result from differences in facts. According to the applicant, trains and airplanes are  at least in Europe and Austria, where the high-speed rail network is well developed  equivalent means of transport as total travel time is similar. Differences only occur with regard to associated emissions which are drastically higher when traveling per plane. Tax benefits for aviation thus lead to unequal treatment of equivalent means of transport that stand in direct competition. As a result of tax benefits for aviation, end consumers that travel by rail have to pay 10% more for their tickets for an identical route at an identical price per kilometer than if they were to fly. This unequal treatment is not objectively justified. It contradicts Austrias obligations under international and European law to mitigate the climate crisis, increasing greenhouse gas emissions and promoting climate-damaging behavior. Therefore, the applicant asserted a violation of her right to equality before the law. 

The applicant further alleged a violation of her right to life. The right to life, as enshrined in Art 2 ECHR and Art 2 CFR, entails positive obligations  the state must adopt measures that prevent (foreseeable) threats to life. Climate change threatens human life directly and indirectly, for example, by destroying ecosystems. The Austrian state, thus, is under a positive obligation to adopt measures to prevent threats to life from climate change. However, the state not only disregards this obligation but also encourages climate-damaging behavior by granting tax benefits to aviation. Due to the lack of justification, the applicant asserts a violation of her right to life. 
Positive obligations also arise from the right to respect for private and family life according to Art 8 ECHR and Art 7 CFR. The Austrian state is obliged to protect health, physical and mental well-being and bodily integrity from environmental hazards, including climate change. Climate change leads to an increased occurrence of extreme weather events such as heat waves, floods or hurricanes, which negatively impact human health. This is particularly evident in the case of the applicant who, due to the increasing number of warm and hot days caused by climate change, is more frequently dependent on a wheelchair and assistance or forced to live isolated in cooled indoor areas. The applicant thus alleged that the Austrian state violates its positive obligations under Art 8 ECHR and Art 7 CFR by promoting climate damaging behavior through tax benefits.

The applicants demanded that the Constitutional Court repeals the relevant provisions of the Federal Turnover Tax Act and the Mineral Oil Tax Act as unconstitutional. In addition, she asked the Constitutional Court to initiate preliminary ruling proceedings at the European Court of Justice to clarify whether Art 37 CFR constitutes a fundamental right, a principle or a European objective.   

On 27 June 2023, the Constitutional Court dismissed the application as inadmissible. As of 1 January 2023, the Turnover Tax Act had been amended to exempt not only aviation but also cross-border rail transport from the turnover tax. The applicants lacked standing since the originally contested provision was no longer in force. The court further held that the obligation to pay turnover taxes was directed at businesses and that consumers were, therefore, excluded from challenging respective provisions. The same applies in connection with the mineral oil tax: since it is not payable by consumers, they are not affected in their legal sphere and thus are not entitled to challenge tax provisions. ",Decided,['Austria>Constitutional Court'],['Suits against governments>Human Rights>Other'],"['Austria>Basic Law on the General Rights of Nationals', 'Austria>Federal Turnover Tax Act (Umsatzsteuergesetz 1994)', 'Austria>Mineral Oil Tax Act (Mineralolsteuergesetz 2022)', 'European Union>Primary Law>Charter of Fundamental Rights of the EU', 'Austria>Constitution']","Whether tax advantages of aviation companies compared to railway companies violate the applicants fundamental rights to equality before the law, to life and to private and family life.  ",https://climatecasechart.com/non-us-case/in-re-tax-benefits-for-aviation/
In re Federal Climate Protection Act Austria,"In 2023, the applicant filed a complaint with the Austrian Constitutional Court and alleged that Art 3 of the Federal Climate Protection Act (Klimaschutzgesetz) was unconstitutional for not ensuring Austrias compliance with international and European greenhouse gas reduction obligations, thereby violating fundamental rights. 
The Federal Climate Protection Act was adopted in 2011 to implement emission reduction obligations under international and European Law. According to Art 3 para 1 of the Act, the maximum permissible GHG emissions shall be defined in the annexes to the Act and distributed among sectors. The annexes accordingly provide for maximum GHG emissions for 2008-2012 and 2013-2020; the Act does not stipulate any emission reduction targets after 2020. In addition, Art 3 para 2 Federal Climate Protection Act provides a (mere) negotiation obligation regarding measures that ensure compliance with maximum GHG emissions. Also, the Act does not contain a sanction mechanism. 

The applicant brought forward that Art 3 Federal Climate Protection Act leads to a shifting of the GHG reduction burden to the future and hinders compliance with international and European emission reduction obligations until 2030. To comply with international and European GHG reduction obligations, Austria would have to adopt drastic measures in the near future. These measures would infringe on fundamental rights as many areas of life and personal freedom are inextricably linked to the emission of greenhouse gases. The applicant accordingly asserted a violation of the right to property, the freedom of occupation, and the right to respect for private and family life. In addition, the applicant suggested that the challenged provision was disproportionate for not ensuring compliance with international and European law and, therefore, infringed on the right to equality before the law. 

On 27 June 2023, the Constitutional Court rejected the application. The Court held that it was not evident from the application which of the future measures mentioned by the applicant would interfere with which fundamental rights positions. Contrary to procedural provisions, the alleged unconstitutionality was not explained in detail. Hence, the application was inadmissible. ",Decided  ,['Austria>Constitutional Court'],['Suits against governments>Human Rights>Other'],"['Austria>Animal Protection', 'Austria>Basic Law on the General Rights of Nationals', 'Austria>Comprehensive Environmental Protection', 'Austria>Federal Constitutional Act on Sustainability', 'Austria>Water and Food Security as well as Research', 'Austria>Climate Protection Act of 2011', 'Austria>Constitution', 'European Convention on Human Rights']",Whether Art 3 of the Federal Climate Protection Act violates fundamental rights by failing to ensure compliance with international and European greenhouse gas reduction targets. ,https://climatecasechart.com/non-us-case/in-re-federal-climate-protection-act-austria/
Jubilee v EFA and NAIF,"On 18 July 2023, Jubilee Australia, a human rights and environmental organisation, filed a claim in the Federal Court of Australia seeking to compel Federal government agencies that subsidise fossil fuel projects to disclose the full environmental effects of those activities. 

The claim is against Export Finance Australia (EFA) which is Australias export credit agency, and the Northern Australia Infrastructure Facility (NAIF), a $7bn AUD fund for infrastructure in northern Australia. 

Both EFA and NAIF provide taxpayer subsidised financial support to fossil fuel projects that may not otherwise go ahead. 

The claim names the Chairs of EFA and NAIF as representatives of their respective Boards which, in turn, must ensure the reporting requirements are met. 

The action alleges certain contraventions of s 516A(6) of the Environment Protection and Biodiversity Conservation Act 1999 (Cth) that requires government agencies and departments to include the following information in their annual reports: 

1.	How their activities accord with the principles of ecologically sustainable development  including the precautionary principle and the principle of intergenerational equity; 
2.	The effect of their activities on the environment; 
3.	The measures they are taking to minimise the impact of their activities on the environment;
4.	The mechanisms for reviewing and increasing the effectiveness of measures to minimise the impact of the activities on the environment.

The definition of activities includes developing and implementing policies, plans, programs and legislation. 

Jubilee Australia alleges that EFA and NAIF fail to adequately disclose the information above in recent annual reports, including failing to disclose the true effect of their financing activities on the environment. 

On 9 August 2023, the Court made orders setting out a timetable for the respondents to request further and better particulars of the statement of claim. The matter has been listed for a case management hearing on 3 November 2023. ",Pending,['Australia>Federal Court of Australia'],['Suits against governments>Access to information'],"['Australia>Environment Protection and Biodiversity Conservation Act 1999 (Cth)', 'Australia>Precautionary Principle', 'Australia>Principle of Intergenerational Equity']",Whether EFA and NAIF have complied with the reporting requirements of s 516A(6) of the Environment Protection and Conservation Act 1999 (Cth). ,https://climatecasechart.com/?post_type=non_us_case&p=19877
Complaint to ACCC regarding APPEA,"On 17 July 2023, Lock the Gate and Comms Declare jointly submitted a complaint to the Australian Competition and Consumer Commission (ACCC) about representations made by the Australian Petroleum Production and Exploration Association (APPEA) regarding its future of gas campaign, alleging that it is in breach of ss 18 and 29 of the Australian Consumer Law. 

The future of gas campaign promotes fossil gas as essential to the transition to a net zero economy without providing information about the role of renewable energy in the transition. Lock the Gate and Comms Declare consider that the campaign is potentially a false and misleading sustainability claim [that] undermine[s] consumer trust in all green claims and reduce[s] confidence in the market. ",Pending,['Australia>Australian Competition and Consumer Commission'],"['Suits against corporations, individuals']",[],Whether APPEAs representations about the future of gas are false and/or misleading. ,https://climatecasechart.com/?post_type=non_us_case&p=19878
ASIC v Vanguard Investments Australia Ltd,"On 24 July 2023, the Australian Securities and Investments Commission (ASIC) commenced proceedings against Vanguard Investments Australia Ltd (Vanguard) alleging misleading conduct in relation to the ESG criteria applied to its Vanguard Ethically Conscious Global Aggregate Bond Index (Hedged) Fund (the Fund). 

The Fund tracks an index called the Bloomberg Barclays MSCI Global Aggregate SRI Exclusions Float Adjusted Index (the Index), which purports to exclude securities based on research and screening against ESG criteria. 

Between August 2018 and February 2021, Vanguard published twelve product disclosure statements (PDSs) for the Fund, each of which contained a statement that Vanguard does not take into account labour standards, environment, social or ethical considerations when selecting, retaining or realising investments in the Fund to track the performance of the benchmark index, but that Vanguard has engaged Bloomberg Barclays to provide an index of securities for the Fund that excludes companies with significant business activities involving fossil fuels, alcohol, tobacco, gambling, military weapons and civilian firearms, nuclear power and adult entertainment.

A majority of the PDSs also directed readers to Bloombergs website which contained fact sheets about the index. A fact sheet issued in 2018 stated that the Index removes issuers with evidence of owning fossil fuel reserves or are involved in certain controversial business lines. A fact sheet issued in 2020 stated that the index removes issuers with ties to thermal coal, oil and gas or are involved in certain controversial business lines. The index also excludes issuers with very severe ESG Controversies or Red Flags.

Vanguard also allegedly made similar statements about the ESG screening of the Fund in an interview during the relevant time period. 

ASIC is ultimately alleging that Vanguard made representations that:

1.	Before being included in the Index, and the Fund, securities were screened to assess their applicability against certain ESG criteria; and 
2.	Securities that did not meet the ESG criteria were excluded from their inclusion in the Index, and therefore the Fund. 

ASIC alleges that contrary to these representations, a significant proportion of the bonds in the Index and therefore the Fund were not screened against the applicable ESG criteria. 

ASIC seeks declarations that Vanguard has engaged in misleading conduct, an order that Vanguard pay pecuniary penalties in respect of that conduct and adverse publicity orders. 

The matter is listed for a first case management hearing on 25 August 2023. ",Pending,['Australia>Federal Court of Australia'],"['Suits against corporations, individuals>Corporations>Misleading advertising']",['Australia>Australian Securities and Investments Commission Act 2001 (Cth)'],Whether Vanguard has engaged in misleading conduct when making representations about its Ethically Conscious Global Aggregate Bond Index (Hedged) Fund.,https://climatecasechart.com/?post_type=non_us_case&p=19879
